cycle,stability,aeonic_integrity,shell_charge,boundary_fit,pulse_lock,id_continuity,light,dark,truth,min_shell,med_shell,high_shell,noise,pressure,resonance,rupture
1,0.56714,0.49179,0.62571,0.4741,0.67244,0.99928,0.25184,0,0.25184,0.38089,0.52097,0.43957,0.045,1.15,0.459,True
2,0.57679,0.50151,0.61198,0.47176,0.75224,0.99905,0.28577,0,0.28577,0.41437,0.53281,0.44687,0.045,1.15,0.468,False
3,0.57072,0.49174,0.59811,0.47238,0.77414,0.9998,0.27094,0,0.27094,0.40986,0.52141,0.43758,0.045,1.15,0.477,True
4,0.55845,0.47553,0.58399,0.4861,0.86179,0.99941,0.22473,0,0.22473,0.40213,0.49463,0.42137,0.045,1.15,0.486,True
5,0.55209,0.46593,0.56979,0.49356,0.93095,0.99956,0.20205,0,0.20205,0.40322,0.47923,0.41149,0.045,1.15,0.495,True
6,0.55264,0.46466,0.55572,0.49238,0.98779,0.99992,0.20777,0,0.20777,0.41648,0.47754,0.40892,0.045,1.15,0.504,True
7,0.56736,0.47927,0.54236,0.47788,0.98549,0.99985,0.27037,0,0.27037,0.44889,0.5033,0.42252,0.045,1.15,0.513,True
8,0.56985,0.47826,0.52928,0.47196,0.93312,0.99896,0.29162,0,0.29162,0.45037,0.50914,0.42423,0.045,1.15,0.522,True
9,0.58095,0.48683,0.51692,0.46258,0.86856,0.99862,0.34193,0,0.34193,0.46568,0.52926,0.43545,0.045,1.15,0.531,True
10,0.5742,0.47484,0.50438,0.45993,0.80767,0.99912,0.33119,0,0.33119,0.44785,0.5202,0.42692,0.045,1.15,0.54,True
