cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
1,0.70619,0.598,0.48636,0.98636,0.66999,0.99939,0.22585,0.41504,0.68672,0.56279,False
2,0.70092,0.59674,0.49115,0.99115,0.75014,0.9994,0.19926,0.42455,0.67728,0.55691,False
3,0.68693,0.58488,0.49583,0.99583,0.80938,0.99943,0.14753,0.41749,0.65777,0.54241,False
4,0.6817,0.58329,0.50167,0.99833,0.87719,0.9993,0.12385,0.42553,0.64888,0.53711,False
5,0.68912,0.59511,0.50729,0.99271,0.93503,0.99973,0.14603,0.45166,0.65649,0.54465,False
6,0.6926,0.60235,0.51131,0.98869,0.99152,0.99994,0.15532,0.47117,0.65928,0.54781,False
7,0.69257,0.60208,0.51204,0.98796,0.98444,0.99993,0.15625,0.47003,0.65947,0.54813,False
8,0.68981,0.59489,0.51353,0.98647,0.89624,0.99981,0.15501,0.44787,0.65856,0.5477,False
9,0.72458,0.62933,0.51621,0.98379,0.81595,0.99934,0.26913,0.47996,0.70337,0.5865,False
10,0.71543,0.61701,0.51064,0.98936,0.78571,0.99893,0.23978,0.45752,0.69288,0.57653,False
11,0.6894,0.58636,0.51573,0.98427,0.72729,0.99944,0.16725,0.4118,0.66277,0.55186,False
12,0.70615,0.60211,0.524,0.976,0.65238,0.99981,0.22897,0.42333,0.68552,0.57285,False
13,0.67272,0.56255,0.5228,0.9772,0.59439,0.9996,0.13011,0.36399,0.6462,0.53924,False
14,0.66084,0.5443,0.51502,0.98498,0.51232,0.99915,0.09453,0.32513,0.63376,0.52714,False
15,0.64601,0.52357,0.51351,0.98649,0.42735,0.99922,0.05391,0.28515,0.61791,0.51333,False
16,0.62602,0.50131,0.52677,0.97323,0.37719,0.9994,0.00521,0.25467,0.59518,0.49677,False
17,0.65116,0.52755,0.52337,0.97663,0.36066,0.99865,0.0816,0.2839,0.62632,0.52274,False
18,0.67274,0.54854,0.52589,0.97411,0.30097,0.99847,0.15358,0.30212,0.65442,0.54722,False
19,0.67356,0.54567,0.53622,0.96378,0.19538,0.99886,0.17008,0.28624,0.65858,0.55283,False
20,0.63978,0.49807,0.52187,0.97813,0.03341,0.99995,0.06702,0.19507,0.62132,0.51779,False
21,0.62593,0.48268,0.5256,0.9744,0.01548,0.99979,0.02863,0.17444,0.60498,0.50473,False
22,0.63811,0.50004,0.52537,0.97463,0.09647,0.99973,0.06019,0.20882,0.61764,0.51547,False
23,0.62243,0.48386,0.51427,0.98573,0.15135,0.99995,0.00063,0.1924,0.59667,0.49522,False
