cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
1,0.7074,0.59934,0.4862,0.9862,0.67054,0.99938,0.2297,0.41686,0.68821,0.56399,False
2,0.70161,0.59747,0.4909,0.9909,0.75015,0.9994,0.20165,0.42555,0.67817,0.55755,False
3,0.68603,0.58382,0.49525,0.99525,0.80888,0.99943,0.1454,0.41623,0.65678,0.5413,False
4,0.68135,0.58277,0.5008,0.9992,0.87733,0.99929,0.12217,0.42455,0.64842,0.53654,False
5,0.6894,0.59523,0.50621,0.99379,0.93485,0.99973,0.14613,0.45134,0.65681,0.54469,False
6,0.6928,0.60236,0.51003,0.98997,0.99149,0.99994,0.15506,0.47066,0.6595,0.54772,False
7,0.69317,0.60251,0.51066,0.98934,0.98448,0.99993,0.15711,0.47001,0.66015,0.54842,False
8,0.69142,0.59643,0.51185,0.98815,0.89735,0.9998,0.15872,0.44932,0.66045,0.54896,False
9,0.72224,0.6265,0.51409,0.98591,0.81755,0.99939,0.26035,0.47577,0.7004,0.58352,False
10,0.71379,0.61485,0.50937,0.99063,0.78283,0.99903,0.23399,0.45382,0.69092,0.57456,False
11,0.6915,0.58828,0.51386,0.98614,0.7261,0.99948,0.17243,0.41328,0.66532,0.55363,False
12,0.70246,0.59778,0.52082,0.97918,0.65664,0.9998,0.21519,0.41724,0.6808,0.56816,False
13,0.67344,0.56288,0.52011,0.97989,0.594,0.99963,0.13048,0.36325,0.64703,0.53936,False
14,0.6597,0.54282,0.51551,0.98449,0.5071,0.99935,0.09153,0.32262,0.63251,0.52612,False
15,0.64413,0.52177,0.51597,0.98403,0.42554,0.99942,0.04978,0.28357,0.61572,0.51192,False
16,0.62593,0.50089,0.52442,0.97558,0.37836,0.99942,0.00321,0.25336,0.59498,0.49609,False
17,0.64716,0.52258,0.52196,0.97804,0.35446,0.99891,0.06857,0.27606,0.62155,0.51831,False
18,0.66491,0.53932,0.52452,0.97548,0.29378,0.99887,0.12881,0.28877,0.645,0.5388,False
19,0.66663,0.5369,0.53155,0.96845,0.1873,0.99907,0.14603,0.272,0.6502,0.54465,False
20,0.63982,0.49789,0.52029,0.97971,0.03378,0.99993,0.06607,0.19426,0.62133,0.51746,False
