cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
1,0.70894,0.60107,0.48623,0.98623,0.67137,0.99936,0.23433,0.41916,0.69006,0.56559,False
2,0.70286,0.59889,0.4913,0.9913,0.75056,0.99939,0.20501,0.42729,0.67962,0.55896,False
3,0.68442,0.5821,0.49585,0.99585,0.80842,0.99942,0.13991,0.41382,0.65472,0.53983,False
4,0.67879,0.58025,0.50194,0.99806,0.87877,0.99923,0.11508,0.42206,0.64528,0.53413,False
5,0.68934,0.59543,0.50799,0.99201,0.93449,0.99974,0.14719,0.45226,0.65679,0.54505,False
6,0.6928,0.60272,0.5122,0.9878,0.99148,0.99994,0.15658,0.47199,0.65956,0.54824,False
7,0.69144,0.60097,0.51287,0.98713,0.98438,0.99993,0.15335,0.46896,0.6581,0.54714,False
8,0.68787,0.59288,0.5147,0.9853,0.89467,0.99983,0.14999,0.44557,0.65626,0.546,False
9,0.72541,0.6304,0.51775,0.98225,0.81429,0.99932,0.27285,0.48168,0.70447,0.58777,False
10,0.71522,0.61702,0.51228,0.98772,0.785,0.99892,0.24033,0.45808,0.69268,0.57671,False
11,0.68898,0.58614,0.51774,0.98226,0.72563,0.99945,0.16746,0.41209,0.66236,0.55194,False
12,0.70496,0.60108,0.52611,0.97389,0.6509,0.99982,0.22689,0.42266,0.68416,0.57214,False
13,0.67258,0.56267,0.52531,0.97469,0.59181,0.99962,0.13159,0.36476,0.64618,0.53974,False
14,0.66028,0.54413,0.5194,0.9806,0.50761,0.99926,0.09604,0.32594,0.63331,0.52765,False
15,0.64537,0.52363,0.51955,0.98045,0.42381,0.99936,0.05622,0.28712,0.61738,0.51411,False
16,0.62662,0.50245,0.53037,0.96963,0.37527,0.99943,0.00965,0.25727,0.59607,0.49828,False
17,0.64525,0.52146,0.52789,0.97211,0.35423,0.99883,0.0669,0.27703,0.61938,0.51775,False
18,0.66481,0.53939,0.52583,0.97417,0.29292,0.99879,0.12954,0.28927,0.64494,0.53904,False
19,0.66555,0.53599,0.53335,0.96665,0.1867,0.99904,0.14406,0.27151,0.64895,0.54398,False
20,0.63379,0.4923,0.52719,0.97281,0.03145,0.99994,0.05254,0.18966,0.6142,0.51286,False
21,0.62942,0.48728,0.53043,0.96957,0.01559,0.9998,0.04262,0.1822,0.60937,0.50949,False
22,0.64655,0.51038,0.53019,0.96981,0.10292,0.99964,0.08899,0.22483,0.62792,0.52526,False
23,0.6413,0.50702,0.52392,0.97608,0.17093,0.99989,0.0637,0.22857,0.61946,0.51666,False
24,0.67196,0.54529,0.52427,0.97573,0.26307,0.99944,0.15176,0.29134,0.65444,0.5466,False
25,0.68815,0.56621,0.52206,0.97794,0.33432,0.99936,0.19488,0.32789,0.67221,0.56126,False
26,0.69478,0.57776,0.52271,0.97729,0.41825,0.99943,0.20976,0.35577,0.67803,0.56632,False
27,0.69159,0.58116,0.52566,0.97434,0.54497,0.99943,0.19335,0.38095,0.67072,0.56074,False
28,0.68654,0.58328,0.52816,0.97184,0.68702,0.99913,0.17012,0.40676,0.66071,0.55284,False
29,0.68712,0.58739,0.53099,0.96901,0.7492,0.99966,0.16909,0.42269,0.65977,0.55249,False
30,0.67889,0.5828,0.53503,0.96497,0.82241,0.99942,0.14189,0.42996,0.6478,0.54324,False
31,0.67288,0.5805,0.53838,0.96162,0.89467,0.9991,0.12116,0.4397,0.63855,0.5362,False
32,0.66956,0.58016,0.54371,0.95629,0.94555,0.9997,0.11062,0.44928,0.63321,0.53261,False
33,0.66011,0.57225,0.54515,0.95485,0.98913,0.99982,0.07962,0.44666,0.6205,0.52207,False
34,0.69714,0.61384,0.55427,0.94573,0.98302,0.99975,0.1996,0.50185,0.66618,0.56286,False
35,0.66591,0.57477,0.55315,0.94685,0.88785,0.99978,0.10987,0.43735,0.63058,0.53236,False
36,0.67539,0.58177,0.55633,0.94367,0.81049,0.99959,0.14655,0.43547,0.64439,0.54483,False
37,0.67846,0.58295,0.55785,0.94215,0.76166,0.9994,0.16051,0.43,0.64953,0.54957,False
38,0.68248,0.58558,0.563,0.937,0.71125,0.99959,0.17965,0.42755,0.65597,0.55608,False
39,0.65014,0.54794,0.56001,0.93999,0.67374,0.99946,0.08141,0.37307,0.61737,0.52268,False
40,0.66968,0.5658,0.56976,0.93024,0.57573,0.99985,0.15424,0.38427,0.6442,0.54744,False
41,0.62373,0.51178,0.56535,0.93465,0.51151,0.99949,0.01549,0.30445,0.58968,0.50027,False
42,0.62878,0.51326,0.56755,0.93245,0.42553,0.99974,0.03813,0.29381,0.59827,0.50796,False
43,0.63469,0.51848,0.56454,0.93546,0.40845,0.99924,0.05577,0.29657,0.60591,0.51396,False
44,0.64755,0.53075,0.56228,0.93772,0.37808,0.99868,0.09616,0.30648,0.62243,0.52769,False
45,0.66192,0.54212,0.55699,0.94301,0.31172,0.99914,0.14054,0.30827,0.64167,0.54279,False
46,0.66105,0.53505,0.55743,0.94257,0.19058,0.9995,0.1462,0.28066,0.64395,0.54471,False
47,0.66064,0.52606,0.54876,0.95124,0.04942,0.99959,0.14859,0.24385,0.6471,0.54552,False
48,0.6155,0.47736,0.56586,0.93414,0.00727,0.9999,0.02498,0.18282,0.5935,0.50349,False
49,0.62388,0.49087,0.56492,0.93508,0.09435,0.99938,0.04447,0.21307,0.60134,0.51012,False
50,0.65527,0.53128,0.57141,0.92859,0.19391,0.999,0.1384,0.28218,0.63715,0.54206,False
51,0.65528,0.5335,0.56787,0.93213,0.25135,0.99949,0.13157,0.2924,0.63548,0.53973,False
52,0.66345,0.54545,0.56654,0.93346,0.31591,0.99955,0.15115,0.31696,0.64367,0.54639,False
53,0.69415,0.58551,0.56324,0.93676,0.45175,0.99854,0.23434,0.38736,0.67741,0.57468,False
54,0.69078,0.5883,0.56382,0.93618,0.5808,0.99913,0.215,0.4111,0.66974,0.5681,False
55,0.66163,0.56172,0.56295,0.93705,0.68936,0.99955,0.11741,0.39406,0.63107,0.53492,False
56,0.6684,0.57367,0.56712,0.93288,0.76744,0.99976,0.13543,0.42294,0.6373,0.54104,False
57,0.65259,0.55925,0.56857,0.93143,0.81908,0.9998,0.08449,0.41336,0.61658,0.52373,False
58,0.66474,0.57617,0.57611,0.92389,0.86837,0.99994,0.1233,0.44541,0.63027,0.53692,False
59,0.65216,0.56635,0.57753,0.92247,0.94077,0.99986,0.08093,0.44487,0.61294,0.52252,False
60,0.66556,0.58466,0.58302,0.91698,0.99636,0.99985,0.12186,0.47883,0.62794,0.53643,False
61,0.69006,0.61202,0.59197,0.90803,0.97947,0.99969,0.20423,0.51436,0.65859,0.56444,False
62,0.67882,0.59628,0.59257,0.90743,0.90675,0.99929,0.17567,0.48351,0.64688,0.55473,False
