cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
1,1,False,,0.742,0.258,0.29,0,0.10475,1.0,0.90381,0.87536,0.90381,0.90381,0.90381
2,1,False,,0.80213,0.19787,0.41687,0,0,1.0,0.90826,0.91524,0.90826,0.90826,0.90826
3,1,False,,0.83386,0.16614,0.52968,0,0,1.0,0.89981,0.92291,0.89981,0.89981,0.89981
4,1,False,,0.85704,0.14296,0.62167,0,0,1.0,0.88217,0.92595,0.88217,0.88217,0.88217
5,1,False,,0.87352,0.12648,0.69605,0,0,1.0,0.85881,0.92545,0.85881,0.85881,0.85881
6,1,False,,0.8917,0.1083,0.7546,0,0,1.0,0.86129,0.93175,0.86129,0.86129,0.86129
7,1,False,,0.90896,0.09104,0.8084,0,0,1.0,0.86577,0.93809,0.86577,0.86577,0.86577
8,1,False,,0.92142,0.07858,0.85084,0,0,1.0,0.86469,0.94172,0.86469,0.86469,0.86469
9,1,False,,0.92944,0.07056,0.87941,0,0,1.0,0.86247,0.94402,0.86247,0.86247,0.86247
10,1,False,,0.93687,0.06313,0.90674,0,0,1.0,0.8594,0.94545,0.8594,0.8594,0.8594
11,1,False,,0.93863,0.06137,0.91465,0,0,1.0,0.85692,0.94576,0.85692,0.85692,0.85692
12,1,False,,0.93985,0.06015,0.92017,0,0,1.0,0.85522,0.94573,0.85522,0.85522,0.85522
13,1,False,,0.94181,0.05819,0.92746,0,0,1.0,0.85429,0.94606,0.85429,0.85429,0.85429
14,1,False,,0.94407,0.05593,0.93529,0,0,1.0,0.85394,0.9466,0.85394,0.85394,0.85394
15,1,False,,0.94452,0.05548,0.94179,0,0,1.0,0.84794,0.94516,0.84794,0.84794,0.84794
16,1,False,,0.94471,0.05529,0.94693,0,0,1.0,0.84252,0.94393,0.84252,0.84252,0.84252
17,1,False,,0.94482,0.05518,0.9482,0,0,1.0,0.84143,0.9438,0.84143,0.84143,0.84143
18,1,False,,0.94506,0.05494,0.9467,0,0,1.0,0.84418,0.94453,0.84418,0.84418,0.84418
19,1,False,,0.9443,0.0557,0.94361,0,0,1.0,0.84488,0.9445,0.84488,0.84488,0.84488
20,1,False,,0.94313,0.05687,0.93964,0,0,1.0,0.84495,0.94415,0.84495,0.84495,0.84495
21,1,False,,0.943,0.057,0.94006,0,0,1.0,0.84393,0.94388,0.84393,0.84393,0.84393
22,1,False,,0.94359,0.05641,0.94207,0,0,1.0,0.84389,0.94405,0.84389,0.84389,0.84389
23,1,False,,0.94368,0.05632,0.94175,0,0,1.0,0.84463,0.94426,0.84463,0.84463,0.84463
24,1,False,,0.94414,0.05586,0.9448,0,0,1.0,0.8428,0.94393,0.8428,0.8428,0.8428
25,1,False,,0.94396,0.05604,0.94584,0,0,1.0,0.84084,0.94338,0.84084,0.84084,0.84084
26,1,False,,0.94565,0.05435,0.94968,0,0,1.0,0.84299,0.94436,0.84299,0.84299,0.84299
27,1,False,,0.94544,0.05456,0.94771,0,0,1.0,0.84449,0.94474,0.84449,0.84449,0.84449
28,1,False,,0.94705,0.05295,0.95272,0,0,1.0,0.84491,0.94525,0.84491,0.84491,0.84491
29,1,False,,0.94887,0.05113,0.9632,0,0,1.0,0.83964,0.9444,0.83964,0.83964,0.83964
30,1,False,,0.94827,0.05173,0.95935,0,0,1.0,0.84184,0.94492,0.84184,0.84184,0.84184
31,1,False,,0.94755,0.05245,0.96073,0,0,1.0,0.83733,0.94349,0.83733,0.83733,0.83733
32,1,False,,0.94666,0.05334,0.95774,0,0,1.0,0.83733,0.9433,0.83733,0.83733,0.83733
33,1,False,,0.94639,0.05361,0.9569,0,0,1.0,0.83727,0.94323,0.83727,0.83727,0.83727
34,1,False,,0.94567,0.05433,0.95319,0,0,1.0,0.83886,0.9434,0.83886,0.83886,0.83886
35,1,False,,0.94654,0.05346,0.95413,0,0,1.0,0.8412,0.94422,0.8412,0.8412,0.8412
36,1,False,,0.94792,0.05208,0.96072,0,0,1.0,0.83881,0.94401,0.83881,0.83881,0.83881
37,1,False,,0.94751,0.05249,0.95942,0,0,1.0,0.83874,0.94393,0.83874,0.83874,0.83874
