cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
1,1.018,False,,0.74277,0.25723,0.28793,0,0.09876,1.0,0.90457,0.87695,0.90457,0.90457,0.90457
2,1.036,False,,0.80448,0.19552,0.42374,0,0,1.0,0.90942,0.91582,0.90942,0.90942,0.90942
3,1.054,False,,0.83833,0.16167,0.54536,0,0,1.0,0.89887,0.92357,0.89887,0.89887,0.89887
4,1.072,False,,0.86134,0.13866,0.63909,0,0,1.0,0.87847,0.92619,0.87847,0.87847,0.87847
5,1.09,False,,0.87736,0.12264,0.71225,0,0,1.0,0.85474,0.92559,0.85474,0.85474,0.85474
6,1.108,False,,0.89563,0.10437,0.76745,0,0,1.0,0.8616,0.93299,0.8616,0.8616,0.8616
7,1.126,False,,0.91285,0.08715,0.82209,0,0,1.0,0.86489,0.93895,0.86489,0.86489,0.86489
8,1.144,False,,0.92057,0.07943,0.84898,0,0,1.0,0.86351,0.94167,0.86351,0.86351,0.86351
9,1.162,False,,0.92893,0.07107,0.87759,0,0,1.0,0.86261,0.94393,0.86261,0.86261,0.86261
10,1.18,False,,0.93709,0.06291,0.90802,0,0,1.0,0.85874,0.94524,0.85874,0.85874,0.85874
11,1.198,False,,0.93962,0.06038,0.91924,0,0,1.0,0.85542,0.94563,0.85542,0.85542,0.85542
12,1.216,False,,0.94126,0.05874,0.92635,0,0,1.0,0.85341,0.94569,0.85341,0.85341,0.85341
13,1.234,False,,0.94296,0.05704,0.93347,0,0,1.0,0.8517,0.94577,0.8517,0.8517,0.8517
14,1.252,False,,0.94335,0.05665,0.93526,0,0,1.0,0.85109,0.94577,0.85109,0.85109,0.85109
15,1.27,False,,0.94385,0.05615,0.94269,0,0,1.0,0.84416,0.944,0.84416,0.84416,0.84416
16,1.288,False,,0.94651,0.05349,0.95088,0,0,1.0,0.84498,0.94501,0.84498,0.84498,0.84498
17,1.306,False,,0.94685,0.05315,0.95381,0,0,1.0,0.84284,0.94475,0.84284,0.84284,0.84284
18,1.3239999999999998,False,,0.94705,0.05295,0.95115,0,0,1.0,0.84683,0.94574,0.84683,0.84683,0.84683
19,1.342,False,,0.94604,0.05396,0.94681,0,0,1.0,0.84797,0.94577,0.84797,0.84797,0.84797
20,1.3599999999999999,False,,0.94443,0.05557,0.94121,0,0,1.0,0.84829,0.94533,0.84829,0.84829,0.84829
21,1.378,False,,0.94439,0.05561,0.94242,0,0,1.0,0.84664,0.94496,0.84664,0.84664,0.84664
22,1.396,False,,0.94526,0.05474,0.94561,0,0,1.0,0.84632,0.94514,0.84632,0.84632,0.84632
