cycle,repeat,eid_used,eid_score,confidence,hesitation,light,dark,noise,id_match,shell_coherence,stability,min_shell,med_shell,high_shell
1,1.004,False,,0.74205,0.25795,0.29085,0,0.10561,1.0,0.90368,0.87517,0.90368,0.90368,0.90368
2,1.008,False,,0.80217,0.19783,0.41724,0,0,1.0,0.90798,0.91521,0.90798,0.90798,0.90798
3,1.012,False,,0.83397,0.16603,0.53035,0,0,1.0,0.89947,0.92284,0.89947,0.89947,0.89947
4,1.016,False,,0.85733,0.14267,0.62308,0,0,1.0,0.88161,0.92587,0.88161,0.88161,0.88161
5,1.02,False,,0.87388,0.12612,0.69799,0,0,1.0,0.85794,0.92532,0.85794,0.85794,0.85794
6,1.024,False,,0.89238,0.10762,0.75659,0,0,1.0,0.86163,0.93202,0.86163,0.86163,0.86163
7,1.028,False,,0.90979,0.09021,0.81096,0,0,1.0,0.86599,0.93837,0.86599,0.86599,0.86599
8,1.032,False,,0.92225,0.07775,0.8537,0,0,1.0,0.86458,0.94191,0.86458,0.86458,0.86458
9,1.036,False,,0.93001,0.06999,0.88116,0,0,1.0,0.86267,0.94428,0.86267,0.86267,0.86267
10,1.04,False,,0.93735,0.06265,0.9086,0,0,1.0,0.85907,0.94549,0.85907,0.85907,0.85907
11,1.044,False,,0.93945,0.06055,0.91812,0,0,1.0,0.85605,0.94576,0.85605,0.85605,0.85605
12,1.048,False,,0.94089,0.05911,0.92458,0,0,1.0,0.85405,0.94574,0.85405,0.85405,0.85405
13,1.052,False,,0.94243,0.05757,0.93117,0,0,1.0,0.85232,0.94577,0.85232,0.85232,0.85232
14,1.056,False,,0.94475,0.05525,0.93937,0,0,1.0,0.85175,0.94625,0.85175,0.85175,0.85175
15,1.06,False,,0.94517,0.05483,0.94589,0,0,1.0,0.8456,0.94478,0.8456,0.8456,0.8456
16,1.064,False,,0.94586,0.05414,0.95366,0,0,1.0,0.83906,0.94338,0.83906,0.83906,0.83906
17,1.068,False,,0.94613,0.05387,0.95642,0,0,1.0,0.83682,0.94303,0.83682,0.83682,0.83682
18,1.072,False,,0.94681,0.05319,0.95459,0,0,1.0,0.84173,0.94438,0.84173,0.84173,0.84173
19,1.076,False,,0.94577,0.05423,0.94992,0,0,1.0,0.84316,0.94449,0.84316,0.84316,0.84316
20,1.08,False,,0.94765,0.05235,0.95942,0,0,1.0,0.83929,0.94399,0.83929,0.83929,0.83929
21,1.084,False,,0.94715,0.05285,0.95901,0,0,1.0,0.83779,0.94357,0.83779,0.83779,0.83779
22,1.088,False,,0.9477,0.0523,0.96096,0,0,1.0,0.83764,0.94371,0.83764,0.83764,0.83764
23,1.092,False,,0.94594,0.05406,0.95615,0,0,1.0,0.83639,0.94277,0.83639,0.83639,0.83639
24,1.096,False,,0.94642,0.05358,0.96081,0,0,1.0,0.83272,0.94206,0.83272,0.83272,0.83272
25,1.1,False,,0.94577,0.05423,0.96186,0,0,1.0,0.82887,0.94091,0.82887,0.82887,0.82887
26,1.104,False,,0.94711,0.05289,0.96298,0,0,1.0,0.83287,0.94227,0.83287,0.83287,0.83287
27,1.108,False,,0.94728,0.05272,0.96008,0,0,1.0,0.83701,0.94339,0.83701,0.83701,0.83701
28,1.112,False,,0.94715,0.05285,0.95564,0,0,1.0,0.84181,0.94453,0.84181,0.84181,0.84181
29,1.116,False,,0.94834,0.05166,0.96317,0,0,1.0,0.83756,0.9438,0.83756,0.83756,0.83756
30,1.12,False,,0.94767,0.05233,0.96306,0,0,1.0,0.835,0.94301,0.835,0.835,0.835
31,1.124,False,,0.94705,0.05295,0.96345,0,0,1.0,0.83205,0.94209,0.83205,0.83205,0.83205
32,1.1280000000000001,False,,0.94825,0.05175,0.9609,0,0,1.0,0.83992,0.9442,0.83992,0.83992,0.83992
33,1.1320000000000001,False,,0.94801,0.05199,0.96325,0,0,1.0,0.83613,0.94338,0.83613,0.83613,0.83613
34,1.1360000000000001,False,,0.94698,0.05302,0.95784,0,0,1.0,0.8385,0.94367,0.8385,0.8385,0.8385
35,1.1400000000000001,False,,0.94778,0.05222,0.96216,0,0,1.0,0.83652,0.94343,0.83652,0.83652,0.83652
36,1.1440000000000001,False,,0.94621,0.05379,0.9537,0,0,1.0,0.8404,0.94385,0.8404,0.8404,0.8404
37,1.148,False,,0.94632,0.05368,0.95601,0,0,1.0,0.83806,0.9434,0.83806,0.83806,0.83806
